Designator,Footprint,Quantity,Value,LCSC Part #
"_4, _3, _2, ",,4,,
"C1, C10, C11, C12, C13, C15, C16, C4, C9",0402,9,100n,
C14,0402,1,1u,
C2,0402,1,10u,
C3,0402,1,2.2u,
"C5, C6, C7, C8",0402,4,TBD,
"D1, D2",0805,2,LED,
"D3, D4, D5, D6",D_SOD-323,4,D_Zener,
J1,Amphenol_F32Q-1A7x1-11022_1x22-1MP_P0.5mm_Horizontal,1,~,
J10,Samtec_ERF8-020-XX.X-DV_2x20_P0.8mm_Socket,1,Conn_02x20_Odd_Even,
J2,ARJM11C7-502-LEDs,1,ARJM11C7-502-AB,
J3,USB_C_Receptacle_GCT_USB4110,1,USB_C_Receptacle_USB2.0_16P,
J4,PinHeader_2x04_P2.54mm_Vertical,1,Conn_02x04_Odd_Even,
J5,JST_XH_B5B-XH-AM_1x05_P2.50mm_Vertical,1,Conn_01x05,
J7,Amphenol_F32R-1A7x1-11022_1x22-1MP_P0.5mm_Horizontal,1,~,
JP1,PinHeader_1x02_P2.54mm_Vertical,1,Jumper_2_Open,
"R1, R10, R11, R2",0402,4,1k,
"R12, R13",0402,2,120,
"R17, R18",0402,2,51k,C25794
"R3, R4, R7",0402,3,5.1k,
"R5, R6",1206,2,1,
R8,0402,1,12k,
R9,0402,1,2k,
SW1,SW_SPST_PTS810,1,SW_Push,
U1,Module_Raspberry_Pi_CM4,1,CM4,
"U2, U5",DFN-14-1EP_3x4.5mm_P0.65mm_EP1.65x4.25mm,2,MCP2517FD-xJHA,
"U4, U7",SOIC-8_3.9x4.9mm_P1.27mm,2,SN65HVD230,
U6,SOT-23-5,1,74LVC1G07,
U9,VQFN-24-1EP_4x4mm_P0.5mm_EP2.45x2.45mm_ThermalVias,1,DRV8846,
"Y1, Y2",Crystal_SMD_SeikoEpson_TSX3225-4Pin_3.2x2.5mm,2,20 MHz,
