Designator,Mid X,Mid Y,Rotation,Layer
_4,79.696,-67.196,0.0,top
_3,79.696,-134.804,0.0,top
_2,147.304,-134.804,0.0,top
,147.304,-67.196,0.0,top
C1,143.4,-73.9,270.0,top
C10,113.3,-74.5,180.0,top
C11,91.4,-79.3,180.0,top
C12,107.141362,-78.965734,180.0,top
C13,94.9,-87.8,0.0,top
C14,94.9,-86.8,0.0,top
C15,93.1,-133.4,180.0,top
C16,135.92,-112.8,180.0,top
C2,144.4,-73.9,270.0,top
C3,143.2,-72.0,90.0,top
C4,131.6,-93.18,270.0,top
C5,89.5,-82.48,270.0,top
C6,91.62,-85.0,180.0,top
C7,105.13,-81.97,270.0,top
C8,107.41,-84.55,180.0,top
C9,99.0,-75.8,180.0,top
D1,76.5625,-74.64,180.0,top
D2,76.5625,-76.6,180.0,top
D3,103.85,-66.3,180.0,top
D4,106.7,-66.5,90.0,top
D5,103.8,-62.5,180.0,top
D6,103.8,-64.4,180.0,top
J1,142.5,-108.3,180.0,top
J10,99.25,-65.35,180.0,bottom
J2,142.3,-93.2,270.0,bottom
J3,120.38,-137.225,0.0,top
J4,117.23,-65.87,270.0,top
J5,125.925,-75.5875,0.0,top
J7,100.1,-137.9,0.0,top
JP1,81.1,-81.505,180.0,top
R1,79.2625,-74.6,0.0,top
R10,145.4,-97.81,90.0,top
R11,145.2,-88.81,90.0,top
R12,91.6,-70.8,0.0,top
R13,106.4,-70.4,0.0,top
R17,88.335,-73.265,270.0,top
R18,103.14,-72.84,270.0,top
R2,79.2625,-76.6,0.0,top
R3,118.1,-132.0,180.0,top
R4,122.8,-132.0,0.0,top
R5,135.7,-70.3,90.0,top
R6,135.7,-75.6625,270.0,top
R7,138.8,-77.19,90.0,top
R8,143.6,-76.0,180.0,top
R9,143.6,-77.0,0.0,top
SW1,76.4,-82.2,270.0,top
U1,102.4,-108.8,0.0,top
U2,97.6425,-78.79375,270.0,top
U4,91.6,-75.1,0.0,top
U5,112.3125,-77.46875,270.0,top
U6,83.525,-76.5,0.0,top
U7,106.435,-74.775,0.0,top
U9,140.1125,-73.2125,0.0,top
Y1,91.83,-82.4,270.0,top
Y2,107.4,-81.975,270.0,top
